abbreviation,company_name,sector,country
AAL,"American Airlines Group, Inc.",Industrials,United States
AAPL,Apple Inc.,Technology,United States
AAP,Advance Auto Parts Inc.,Consumer Cyclical,United States
ABBV,AbbVie Inc.,Healthcare,United States
ABT,Abbott Laboratories,Healthcare,United States
ACN,Accenture plc,Technology,Ireland
ADBE,Adobe Inc.,Technology,United States
ADI,"Analog Devices, Inc.",Technology,United States
ADM,Archer-Daniels-Midland Company,Consumer Defensive,United States
ADP,"Automatic Data Processing, Inc.",Technology,United States
ADSK,"Autodesk, Inc.",Technology,United States
AEE,Ameren Corporation,Utilities,United States
AEP,American Electric Power Company,Utilities,United States
AES,The AES Corporation,Utilities,United States
AFL,AFLAC Incorporated,Financial Services,United States
AIG,"American International Group, I",Financial Services,United States
AIV,Apartment Investment and Manage,Real Estate,United States
AIZ,"Assurant, Inc.",Financial Services,United States
AJG,Arthur J. Gallagher & Co.,Financial Services,United States
AKAM,"Akamai Technologies, Inc.",Technology,United States
ALB,Albemarle Corporation,Basic Materials,United States
ALGN,"Align Technology, Inc.",Healthcare,United States
ALK,"Alaska Air Group, Inc.",Industrials,United States
ALLE,Allegion plc,Industrials,Ireland
ALL,Allstate Corporation (The),Financial Services,United States
AMAT,"Applied Materials, Inc.",Technology,United States
AMD,"Advanced Micro Devices, Inc.",Technology,United States
AME,"AMETEK, Inc.",Industrials,United States
AMGN,Amgen Inc.,Healthcare,United States
AMG,"Affiliated Managers Group, Inc.",Financial Services,United States
AMP,"Ameriprise Financial, Inc.",Financial Services,United States
AMT,American Tower Corporation (REI,Real Estate,United States
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States
ANSS,"ANSYS, Inc.",Technology,United States
AON,Aon plc,Financial Services,Ireland
AOS,A.O. Smith Corporation,Industrials,United States
APA,APA Corporation,Energy,United States
APD,"Air Products and Chemicals, Inc",Basic Materials,United States
APH,Amphenol Corporation,Technology,United States
APTV,Aptiv PLC,Consumer Cyclical,Ireland
ARE,Alexandria Real Estate Equities,Real Estate,United States
AVB,"AvalonBay Communities, Inc.",Real Estate,United States
